,Unnamed: 0,Unnamed: 0.1,date,hour,tweet,linea,estacion,polarity
0,0,0,06-nov-19,19:31:36,"El @MetroCDMX lleno de vendedores... En la estación Cuatro Caminos hay tres o cuatro por vagón... nadie intenta siquiera detenerlos, me refiero a la autoridad
@Claudiashein @SSP_CDMX https://t.co/oVycmCL7yE",linea2 ,Cuatro Caminos cuatro ,0
1,1,1,06-nov-19,19:32:20,Q paso @MetroCDMX en barranca ninguna de tus escaleras sirve y personas de la tercera edad apenas si pueden subir @MetroCDMX as algo no chinguen!!!! https://t.co/BLxTQ4irVw,linea7 ,barranca ,0
2,2,2,06-nov-19,19:32:35,"🔴 #EnDirecto Si estás por abordar la estación Tacuba de la #Línea7 del @MetroCDMX te encontrarás el buen ambiente y ska de la @LATREMENDAKORTE

#TelediarioEnEl6 | 👇 https://t.co/VqUPqVgacF https://t.co/YhKF6nW4ii",linea7,Tacuba Tacuba ,0
4,4,4,06-nov-19,19:33:04,Mi estimado @MetroCDMX que sucede en L8 dirección Garibaldi que va muy lenta??,linea8,Garibaldi ,0
5,5,5,06-nov-19,19:33:30,@MetroCDMX #L8 tardando demasiado dirección Garibaldi 😡,linea8,Garibaldi ,0
9,9,9,06-nov-19,19:37:14,"Qué coraje e impotencia...
En la salida del metro camarones ninguna escalera sirve, personas de la era edad con bastón subiendo 4 pisos...
@MetroCDMX @Claudiashein pa cuándo darán buen sevicio.
Ah perdón se me olvidaba que la jefa de gobierno es solo la chacha de la CDMX",linea4,camarones ,0
10,10,10,06-nov-19,19:37:41,"Aunque suene paradójico, hay un lugar subterráneo donde se ven las constelaciones 🌠 del zodiaco. 😳 ¡Así como lo lees 🧐! Se trata del Túnel de la Ciencia 🔭 del @MetroCDMX 🚇, ubicado en el pasillo que une las líneas 3 y 5 de la #EstaciónLaRaza. Conoce más en este hilo 🧵.👇🏽 https://t.co/5HGTNbiD18",linea3,,0
14,14,14,06-nov-19,19:39:17,"@TlacaelelRey Remember la #L12 del @MetroCDMX.
Remember #Tláhuac.
😩😩😩",linea12,,0
17,17,17,06-nov-19,19:43:29,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
20,20,20,06-nov-19,19:45:54,@MetroCDMX el metro en Eugenia arranca sin abrir puertas lamentable servicio.,linea3 ,Eugenia ,0
21,21,21,06-nov-19,19:46:29,Q paso @MetroCDMX en barranca ninguna de tus escaleras sirve y personas de la tercera edad apenas si pueden subir @MetroCDMX as algo no chinguen!!!! https://t.co/BLxTQ4irVw,linea7 ,barranca ,0
24,24,24,06-nov-19,19:48:37,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
26,26,26,06-nov-19,19:49:48,@UCS_GCDMX @MetroCDMX @SSP_CDMX Si deseo proceder en contra de los PBI del metro Zapata,linea3 ,Zapata Zapata ,0
27,27,27,06-nov-19,19:51:38,"Sale banda caíganle a la estación del @MetroCDMX #Tacuba línea 7, #LaTremendaKorte está deleitando con su #ska a los usuarios, si no pueden póngale al #Telediarioenel6 con @azucenau y @janupi https://t.co/z6Ye4jHsmb",linea7,Tacuba Tacuba ,0
28,28,28,06-nov-19,19:51:39,@MetroCDMX La linea 12 viene hasta el full gracias a que se viene pare y pare,linea1,,1
30,30,30,06-nov-19,19:53:23,@MetroCDMX Sigue sin haber cambip de tarjetas en ninguna estación del linea #L8,linea8,,0
31,31,31,06-nov-19,19:54:01,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
32,32,32,06-nov-19,19:54:21,@MetroCDMX @marben16 #L8 no ay en ningun lado,linea8,,0
33,33,33,06-nov-19,19:54:41,@MetroCDMX Sigue sin haber cambip de tarjetas en ninguna estación del linea #L8,linea8,,0
34,34,34,06-nov-19,19:54:58,@MetroCDMX La linea 12 viene hasta el full gracias a que se viene pare y pare,linea1,,1
35,35,35,06-nov-19,19:55:54,@ChepoCheps  : @MetroCDMX el metro en Eugenia arranca sin abrir puertas lamentable servicio.,linea3 ,Eugenia ,0
41,41,41,06-nov-19,20:02:20,Q paso @MetroCDMX en barranca ninguna de tus escaleras sirve y personas de la tercera edad apenas si pueden subir @MetroCDMX as algo no chinguen!!!! https://t.co/BLxTQ4irVw,linea7 ,barranca ,0
42,42,42,06-nov-19,20:02:25,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
49,49,49,07-nov-19,21:28:44,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",linea2,,0
52,52,52,07-nov-19,21:32:03,"Las 12 líneas del @MetroCDMX son vigiladas por 3 mil 761 policías de la #CDMX 

https://t.co/xphCmAg1p1",,,1
54,54,54,07-nov-19,21:32:35,@alertasurbanas El de Xola y Cuauhtemoc en la glorieta del metro @MetroCDMX Etiopía. Rosita Mancera y @Claudiashein serían responsables en caso de colapso. Hay una terminal del @MetrobusCDMX justo a un lado.,linea1 ,Cuauhtemoc Xola terminal ,1
58,58,58,07-nov-19,21:33:37,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",linea1,Tacubaya Tacubaya Tacubaya ,0
